DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 04:30,814.4341,20.8879,39.340028,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:35,787.2124,20.91775,39.358526,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:40,808.6598,20.89785,39.377024,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:45,789.6871,20.8879,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:50,830.1072,20.89785,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:55,788.0373,20.89785,39.377024,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 05:00,793.8116,20.9078,39.404771,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:05,812.7843,20.89785,39.358526,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:10,799.5859,20.91775,39.367775,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:15,793.8116,20.9078,39.367775,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:20,,,,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:25,785.5626,20.91775,39.293783,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:30,817.7337,20.9277,39.303032,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:35,796.2863,20.93765,39.266036,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:40,787.2124,20.93765,39.266036,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:45,783.9128,20.9476,39.238289,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:50,777.3136,20.93765,39.284534,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:55,808.6598,20.93765,39.247538,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 06:00,792.9867,20.9476,39.312281,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:05,761.6405,20.93765,39.293783,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:10,813.6092,20.97745,39.219791,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:15,806.1851,20.95755,39.238289,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:20,,,,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:25,790.512,20.9874,39.210542,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:30,795.4614,20.9874,39.173546,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:35,785.5626,21.01725,39.173546,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:40,776.4887,21.0073,39.182795,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:45,812.7843,20.9874,39.192044,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:50,777.3136,20.97745,39.192044,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 06:55,797.1112,20.99735,39.192044,1,1,0,0,1,0,0,1,16,6,1,0,1
30-01-23 07:00,773.1891,20.99735,39.155048,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:05,774.014,20.97745,39.155048,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:10,791.3369,20.9874,39.192044,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:15,817.7337,20.9874,39.127301,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:20,,,,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:25,821.8582,21.0471,39.127301,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:30,861.4534,20.97745,39.266036,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:35,807.01,20.8879,39.219791,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:40,816.0839,20.8282,39.034811,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:45,782.263,20.7884,38.711096,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:50,769.8895,20.73865,38.30414,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 07:55,749.267,20.67895,38.008172,1,1,0,0,1,0,0,1,16,7,1,1,0
30-01-23 08:00,698.1232,20.6292,37.675208,1,1,0,0,1,0,0,1,16,8,1,1,0
30-01-23 08:05,696.4734,20.59935,37.360742,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:10,713.7963,20.57945,37.185011,1,1,0,0,1,0,0,1,16,8,1,0,0
