co2_concentration,air_temperature,relative_humidity,kitchen,livingroom,bedroom,office,kitchen_livingroom,day_sin,day_cos,hour_sin,hour_cos
796.2863,21.08026667,37.850939,0,0,1,0,0,0.781831482,0.623489802,-0.258819045,-0.965925826
807.2849667,21.09353333,37.921848,0,0,1,0,0,0.781831482,0.623489802,-0.5,-0.866025404
804.8102667,21.10016667,38.134575,0,0,1,0,0,0.781831482,0.623489802,-0.5,-0.866025404
829.5572667,21.1068,38.9315305,0,0,1,0,0,0.781831482,0.623489802,-0.5,-0.866025404
827.0825667,21.10016667,38.988566,0,0,1,0,0,0.781831482,0.623489802,-0.5,-0.866025404
825.9827,21.10016667,38.936155,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,-0.707106781
829.0073333,21.10016667,38.926906,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,-0.707106781
815.5339667,21.10348333,38.76659,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,-0.707106781
783.9128,21.07695,38.569278,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,-0.707106781
791.8868333,21.067,38.387381,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,-0.5
781.9880333,21.05705,38.492203,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,-0.5
799.4484167,21.07363333,38.8112935,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,-0.5
818.0086667,21.06036667,38.871412,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,-0.5
803.4354333,21.03715,38.732677,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,-0.258819045
783.6378333,21.05041667,38.58161,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,-0.258819045
788.8622,21.02554167,38.652519,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,-0.258819045
780.8881667,20.91775,38.532282,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,-0.258819045
766.8648667,20.82488333,38.285642,0,0,1,0,0,0.781831482,0.623489802,-1,-1.84E-16
742.6678,20.75191667,38.091413,0,0,1,0,0,0.781831482,0.623489802,-1,-1.84E-16
730.0193333,20.72704167,37.90335,0,0,1,0,0,0.781831482,0.623489802,-1,-1.84E-16
703.3475667,20.69221667,37.727619,0,0,1,0,0,0.781831482,0.623489802,-1,-1.84E-16
668.1518333,20.65905,37.607382,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,0.258819045
681.0752667,20.61261667,37.598133,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,0.258819045
675.8509,20.624225,37.6983305,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,0.258819045
665.9521,20.57945,37.591967,0,0,1,0,0,0.781831482,0.623489802,-0.965925826,0.258819045
675.026,20.54296667,37.474813,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,0.5
661.2776667,20.52638333,37.34841,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,0.5
664.0273333,20.52638333,37.2574615,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,0.5
664.8522333,20.49653333,37.166513,0,0,1,0,0,0.781831482,0.623489802,-0.866025404,0.5
665.6771333,20.47995,37.07094,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,0.707106781
646.4294667,20.46336667,36.969201,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,0.707106781
644.3672167,20.45839167,36.898292,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,0.707106781
639.2803333,20.44678333,36.85513,0,0,1,0,0,0.781831482,0.623489802,-0.707106781,0.707106781
643.9547667,20.42688333,36.781138,0,0,1,0,0,0.781831482,0.623489802,-0.5,0.866025404
637.0806,20.4103,36.778055,0,0,1,0,0,0.781831482,0.623489802,-0.5,0.866025404
630.7563667,20.4103,36.7086875,0,0,1,0,0,0.781831482,0.623489802,-0.5,0.866025404
641.4800667,20.3904,36.663984,0,0,1,0,0,0.781831482,0.623489802,-0.5,0.866025404
642.8549,20.38045,36.645486,0,0,1,0,0,0.781831482,0.623489802,-0.258819045,0.965925826
618.6578333,20.38045,36.617739,0,0,1,0,0,0.781831482,0.623489802,-0.258819045,0.965925826
648.4917167,20.37215833,36.6377785,0,0,1,0,0,0.781831482,0.623489802,-0.258819045,0.965925826
635.4308,20.35723333,36.654735,0,0,1,0,0,0.781831482,0.623489802,-0.258819045,0.965925826
632.6811333,20.3506,36.636237,0,0,1,0,0,0.974927912,-0.222520934,0,1
638.1804667,20.32738333,36.596158,0,0,1,0,0,0.974927912,-0.222520934,0,1
746.7923,20.40864167,37.696789,0,0,1,0,0,0.974927912,-0.222520934,0,1
823.2330333,20.5695,38.48912,0,0,1,0,0,0.974927912,-0.222520934,0,1
844.4054667,20.69221667,38.563112,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,0.965925826
820.4833667,20.7287,38.470622,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,0.965925826
835.7440167,20.76684167,38.4752465,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,0.965925826
839.7310333,20.75855,38.476788,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,0.965925826
815.259,20.7685,38.42746,0,0,1,0,0,0.974927912,-0.222520934,0.5,0.866025404
809.4847,20.7685,38.412045,0,0,1,0,0,0.974927912,-0.222520934,0.5,0.866025404
817.32125,20.79171667,38.3735075,0,0,1,0,0,0.974927912,-0.222520934,0.5,0.866025404
792.9867,20.8083,38.430543,0,0,1,0,0,0.974927912,-0.222520934,0.5,0.866025404
775.6638,20.81493333,38.445958,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,0.707106781
792.1618,20.82488333,38.479871,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,0.707106781
796.4237833,20.863025,38.560029,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,0.707106781
808.6598,20.8879,38.630938,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,0.707106781
807.01,20.87795,38.763507,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,0.5
771.2643333,20.89453333,38.698764,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,0.5
790.3745167,20.92935833,38.7311355,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,0.5
770.7144,20.9277,38.695681,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,0.5
765.2150667,20.9476,38.701847,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,0.258819045
760.2656667,20.98408333,38.726511,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,0.258819045
748.9920333,21.01559167,38.7434675,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,0.258819045
777.5885667,21.01725,38.748092,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,0.258819045
788.3122667,21.01393333,38.76659,0,0,1,0,0,0.974927912,-0.222520934,1,6.12E-17
761.6405,21.01393333,38.831333,0,0,1,0,0,0.974927912,-0.222520934,1,6.12E-17
774.7014167,21.05041667,38.8760365,0,0,1,0,0,0.974927912,-0.222520934,1,6.12E-17
790.512,21.06368333,38.966985,0,0,1,0,0,0.974927912,-0.222520934,1,6.12E-17
777.3136,20.91443333,39.114969,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,-0.258819045
742.1178667,20.7884,38.785088,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,-0.258819045
719.2956333,20.78010833,38.6633095,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,-0.258819045
727.2696667,20.79171667,38.942321,0,0,1,0,0,0.974927912,-0.222520934,0.965925826,-0.258819045
734.9687333,20.83151667,39.235206,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,-0.5
752.2916333,20.8481,39.407854,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,-0.5
763.5652667,20.89785,39.5912925,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,-0.5
772.9141333,20.91443333,39.685324,0,0,1,0,0,0.974927912,-0.222520934,0.866025404,-0.5
785.8375667,20.91775,39.685324,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,-0.707106781
772.9141333,20.9476,39.716154,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,-0.707106781
763.5652667,20.952575,39.697656,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,-0.707106781
766.0399667,20.97745,39.743901,0,0,1,0,0,0.974927912,-0.222520934,0.707106781,-0.707106781
772.9141333,21.00398333,39.780897,0,0,1,0,0,0.974927912,-0.222520934,0.5,-0.866025404
769.6145333,21.03051667,39.861055,0,0,1,0,0,0.974927912,-0.222520934,0.5,-0.866025404
769.7520167,21.05705,39.9335055,0,0,1,0,0,0.974927912,-0.222520934,0.5,-0.866025404
794.9114667,21.07695,39.894968,0,0,1,0,0,0.974927912,-0.222520934,0.5,-0.866025404
777.8635333,21.09685,39.790146,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,-0.965925826
775.6638,21.12006667,39.833308,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,-0.965925826
778.55095,21.14991667,39.864138,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,-0.965925826
780.8881667,21.1665,39.820976,0,0,1,0,0,0.974927912,-0.222520934,0.258819045,-0.965925826
770.1644667,21.19303333,39.857972,0,0,1,0,0,0.974927912,-0.222520934,1.22E-16,-1
781.9880333,21.17976667,39.867221,0,0,1,0,0,0.974927912,-0.222520934,1.22E-16,-1
787.0749167,21.2063,40.046035,0,0,1,0,0,0.974927912,-0.222520934,1.22E-16,-1
821.0333,21.2262,40.530066,0,0,1,0,0,0.974927912,-0.222520934,1.22E-16,-1
836.1564667,21.20961667,40.718129,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,-0.965925826
821.8582,21.19635,40.662635,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,-0.965925826
771.4018167,21.21956667,40.5470225,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,-0.965925826
771.2643333,21.19966667,40.456074,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,-0.965925826
754.7663333,21.17313333,40.40058,0,0,1,0,0,0.974927912,-0.222520934,-0.5,-0.866025404
730.5692667,21.1665,40.314256,0,0,1,0,0,0.974927912,-0.222520934,-0.5,-0.866025404
736.7560167,21.15986667,40.419078,0,0,1,0,0,0.974927912,-0.222520934,-0.5,-0.866025404
693.7237333,21.11343333,40.394414,0,0,1,0,0,0.974927912,-0.222520934,-0.5,-0.866025404
679.7004333,21.08026667,40.468406,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,-0.707106781
703.8975,21.08358333,40.641054,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,-0.707106781
710.6341833,21.111775,40.807536,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,-0.707106781
732.2190667,21.10016667,40.875362,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,-0.707106781
745.6924333,21.09353333,40.884611,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,-0.5
728.3695333,21.09021667,40.958603,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,-0.5
730.2943,21.11343333,41.0433855,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,-0.5
760.5406333,21.06036667,41.10967,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,-0.5
737.7184,20.95423333,41.100421,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,-0.258819045
725.3449,20.87795,41.097338,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,-0.258819045
701.5602833,20.85970833,41.0772985,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,-0.258819045
694.8236,20.83151667,41.097338,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,-0.258819045
720.9454333,20.82156667,41.155915,0,0,1,0,0,0.974927912,-0.222520934,-1,-1.84E-16
695.0985667,20.77513333,41.152832,0,0,1,0,0,0.974927912,-0.222520934,-1,-1.84E-16
678.0506333,20.7685,41.1173775,0,0,1,0,0,0.974927912,-0.222520934,-1,-1.84E-16
662.9274667,20.76186667,41.106587,0,0,1,0,0,0.974927912,-0.222520934,-1,-1.84E-16
648.6292,20.73533333,41.149749,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,0.258819045
650.0040333,20.71543333,41.189828,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,0.258819045
638.31795,20.72538333,41.1852035,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,0.258819045
643.6798,20.7088,41.220658,0,0,1,0,0,0.974927912,-0.222520934,-0.965925826,0.258819045
646.1545,20.68558333,41.276152,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,0.5
620.0326667,20.66568333,41.29465,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,0.5
609.5839333,20.67231667,41.2961915,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,0.5
616.1831333,20.65573333,41.334729,0,0,1,0,0,0.974927912,-0.222520934,-0.866025404,0.5
600.785,20.64578333,41.393306,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,0.707106781
617.283,20.61593333,41.408721,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,0.707106781
595.8356,20.624225,41.439551,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,0.707106781
615.6332,20.61261667,41.476547,0,0,1,0,0,0.974927912,-0.222520934,-0.707106781,0.707106781
598.3103,20.61593333,41.516626,0,0,1,0,0,0.974927912,-0.222520934,-0.5,0.866025404
592.536,20.59935,41.565954,0,0,1,0,0,0.974927912,-0.222520934,-0.5,0.866025404
583.3246167,20.60266667,41.575203,0,0,1,0,0,0.974927912,-0.222520934,-0.5,0.866025404
617.283,20.59603333,41.593701,0,0,1,0,0,0.974927912,-0.222520934,-0.5,0.866025404
609.5839333,20.5894,41.636863,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,0.965925826
598.5852667,20.57945,41.658444,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,0.965925826
616.1831333,20.5894,41.6815665,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,0.965925826
606.8342667,20.56286667,41.732436,0,0,1,0,0,0.974927912,-0.222520934,-0.258819045,0.965925826
601.6099,20.5695,41.741685,0,0,1,0,0,0.433883739,-0.900968868,0,1
628.5566333,20.55291667,41.902001,0,0,1,0,0,0.433883739,-0.900968868,0,1
739.3682,20.69221667,42.463107,0,0,1,0,0,0.433883739,-0.900968868,0,1
793.5366333,20.84146667,42.62034,0,0,1,0,0,0.433883739,-0.900968868,0,1
803.7104,20.91111667,42.429194,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,0.965925826
794.6365,20.9078,42.3737,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,0.965925826
779.2383667,20.94428333,42.3166645,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,0.965925826
778.9634,20.93433333,42.34287,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,0.965925826
780.3382333,20.91111667,42.416862,0,0,1,0,0,0.433883739,-0.900968868,0.5,0.866025404
774.5639333,20.8879,42.40453,0,0,1,0,0,0.433883739,-0.900968868,0.5,0.866025404
774.5639333,20.892875,42.453858,0,0,1,0,0,0.433883739,-0.900968868,0.5,0.866025404
764.3901667,20.89785,42.475439,0,0,1,0,0,0.433883739,-0.900968868,0.5,0.866025404
755.8662,20.90448333,42.438443,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,0.707106781
